"","mObjID","mGlobID","# Interviewer","# Site","Screen: 18+","Screen: Have you been surveyed in the last 2 weeks?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_date","mLong","mLat","exObjID","exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments.x","exGlobID","Did anything detract from the experience you had at this site?","exLong","exLat","exActivityType","nexObjID","nexGlobID","nexGUID","# Is this a boat-based or shore-based activity?","If RECALL, what date did they participant do the activity?","What activity did you do?","What time did you START the activity?","What time did you STOP the activity?","If DIVING, what was your maximum depth (m)?","Why did you CHOOSE this site?","Why did you LEAVE this site?","How many DAYS have you done this activity in the last 12 months?","How many YEARS have you been doing this activity?","Comments.y","Did anything detract from your experience at this site?","nexLong","nexLat","nexActivityType","aObjID","aGlobID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number and/or name","Comments"
"1",4,"dc0117f3-d0a8-413f-8148-981062e475a9","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"No",NA,NA,0,"1/17/2022 1:22:51 AM",121.894753332989,-33.8659716657517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"26d96523-28a7-4d16-b873-27de3b6fa296","dc0117f3-d0a8-413f-8148-981062e475a9","Boat","1/17/2022 1:23:29 AM","WindSport","07:45",09:25:00,NA,"Access","ActivityChange",150,40,NA,NA,121.906247054267,-33.8649257389032,"NonExtractive",2,"83b23495-680d-41ea-9604-fa8233d5f033","dc0117f3-d0a8-413f-8148-981062e475a9",0,0,"None",NA,1954,6450,"Esperance","Male",NA,NA,NA,NA,3,"Weto","Non-motorised boat, (sail boat)- not sure if ‘weto’ is brand or boat name, but there was no other number"
"2",5,"066c421f-db26-47f4-ac29-ccbb588db176","EH","Wharton","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/17/2022 6:57:46 AM",122.589428333287,-33.9353883321729,4,"066c421f-db26-47f4-ac29-ccbb588db176","Boat","1/17/2022 6:58:23 AM","Casting","Bait","11:00","12:00",8,12,2,0,"Herring","ActivityChange",NA,"035663ac-c8fd-4561-8dd1-c62c49595699",NA,122.593151335405,-33.9334078762736,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"4c3cd29b-0b88-4795-b36c-7fbd6370cca1","066c421f-db26-47f4-ac29-ccbb588db176",10,20,"None",NA,1978,6446,"Esperance","Male",2,1,3,4,3,"Bm079",NA
"3",6,"85e33d86-5fb0-4e33-b1c2-83c97e00c1ee","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/21/2022 2:18:54 AM",121.89458047467,-33.8654804011965,5,"85e33d86-5fb0-4e33-b1c2-83c97e00c1ee","Boat","1/21/2022 2:19:15 AM","Casting","Bait","06:00","10:00",5,6,6,0,"Snook, skippers, herrings, yellow tails","LowCatch",NA,"b9f42da0-84b4-43d9-a6dd-17ff1c50369e",NA,121.897042414606,-33.8622236713842,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"7508ca79-e522-4a3c-acca-e79e1ff2117d","85e33d86-5fb0-4e33-b1c2-83c97e00c1ee",60,65,"None",NA,1946,6450,"Esperance","Male",NA,1,NA,NA,3,"90856",NA
"4",7,"002a7396-a8cb-471f-8b2c-cc8da5f4e356","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/21/2022 2:46:54 AM",121.893823326938,-33.8642844376034,6,"002a7396-a8cb-471f-8b2c-cc8da5f4e356","Boat","1/21/2022 2:47:48 AM","Casting","Bait","06:30","08:00",15,5,5,0,"King George whiting , herrings","Weather",NA,"03f14681-fb36-453f-942f-4283516a6552",NA,121.915099287537,-33.8730594685367,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"ab3f2223-25f7-45bc-af5f-94a5f3bb9849","002a7396-a8cb-471f-8b2c-cc8da5f4e356",6,38,"None",NA,1980,6450,"Esperance","Male",NA,1,NA,NA,3,"BG566",NA
"5",7,"002a7396-a8cb-471f-8b2c-cc8da5f4e356","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/21/2022 2:46:54 AM",121.893823326938,-33.8642844376034,7,"002a7396-a8cb-471f-8b2c-cc8da5f4e356","Boat","1/21/2022 2:49:42 AM","Casting","Bait","08:30","10:30",2,0,6,0,"Rock cod wrasse","Weather",NA,"abcbded5-6d85-44b0-b395-e3da8a1d2ad7",NA,121.908876513833,-33.8558097067878,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"ab3f2223-25f7-45bc-af5f-94a5f3bb9849","002a7396-a8cb-471f-8b2c-cc8da5f4e356",6,38,"None",NA,1980,6450,"Esperance","Male",NA,1,NA,NA,3,"BG566",NA
"6",8,"8f465ef1-5a7f-45a3-b450-e1d1ec4f282b","EH","EsperanceBR","Yes","No","Yes","No",8,"Yes",2,"8",1,"1/21/2022 2:56:06 AM",121.894188276505,-33.8651313677191,8,"8f465ef1-5a7f-45a3-b450-e1d1ec4f282b","Boat","1/21/2022 2:58:21 AM","Casting","Both","06:30","11:50",15,3,6,0,"Squid, flathead, whiting","Weather",NA,"c87fc071-1096-4abb-b92c-a695af1f35c5",NA,121.908945439769,-33.8881236710603,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"ac43e892-c13c-41b6-be42-1d14819e2522","8f465ef1-5a7f-45a3-b450-e1d1ec4f282b",5,1,"None",NA,1970,6556,"Esperance","Female",NA,1,2,NA,3,"Gd329",NA
"7",9,"00fe4bfa-98d7-4922-9759-94294db3fe39","EH","BandyCreekBR","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,0,"1/21/2022 11:32:19 PM",121.930944148014,-33.8326395400089,9,"00fe4bfa-98d7-4922-9759-94294db3fe39","Boat","1/21/2022 11:32:52 PM","Cray","Bait","06:30","07:20",18,0,0,0,NA,"Other","Sea sick","998f0bbf-2ef8-4ca6-b624-fd2ca6056fd9",NA,121.993608563296,-33.9207713363878,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"6c91edd8-2b0f-4dc3-8d81-3b71a9451a9b","00fe4bfa-98d7-4922-9759-94294db3fe39",20,10,"None",NA,1992,6450,"Esperance","Female",NA,1,NA,NA,3,"42950",NA
"8",10,"efa5fdc5-dfc5-40fe-96a7-2252e89b45f8","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 3:24:53 AM",121.932418333701,-33.8314666655246,10,"efa5fdc5-dfc5-40fe-96a7-2252e89b45f8","Boat","1/22/2022 3:25:23 AM","Demersal","Bait","06:00","10:00",40,7,15,0,"Sweep, queenies, nanniguie, estuary cod","Weather",NA,"2cdeff18-5fa0-4b33-91b3-3c1c38f6fd32",NA,122.005736828439,-33.8736862561993,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"bfe1a564-84f5-4296-985c-488b5a9a9197","efa5fdc5-dfc5-40fe-96a7-2252e89b45f8",8,30,"None",NA,1973,6450,"Esperance","Male",NA,1,NA,NA,6,"48677","Lives half the year in Kalgoorlie"
"9",10,"efa5fdc5-dfc5-40fe-96a7-2252e89b45f8","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 3:24:53 AM",121.932418333701,-33.8314666655246,11,"efa5fdc5-dfc5-40fe-96a7-2252e89b45f8","Boat","1/22/2022 3:29:28 AM","Trolling","Bait","10:00","12:20",40,0,0,0,"0","Weather",NA,"096078a0-83b6-4db6-b136-bccc6c6517fb",NA,121.957170114188,-33.8513768333025,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"bfe1a564-84f5-4296-985c-488b5a9a9197","efa5fdc5-dfc5-40fe-96a7-2252e89b45f8",8,30,"None",NA,1973,6450,"Esperance","Male",NA,1,NA,NA,6,"48677","Lives half the year in Kalgoorlie"
"10",11,"c53dae6d-cfdf-4443-94c9-37e6eb756ae4","EH","BandyCreekBR","Yes","Yes","Yes","No",7,"Yes",2,"7",0,"1/22/2022 3:55:46 AM",121.932263332992,-33.8314266655947,12,"c53dae6d-cfdf-4443-94c9-37e6eb756ae4","Boat","1/22/2022 3:56:11 AM","Demersal","Both","08:00","11:30",15,4,10,0,"Herring, wrasse, leather jacket","Weather","Also trawling in same spot. Shallowest 8m, deepest 20m","46e1496c-3040-451d-93b3-00f375a41df4",NA,121.962209345826,-33.8535190393639,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"61e49101-40c1-4f9d-98b2-3e5334525241","c53dae6d-cfdf-4443-94c9-37e6eb756ae4",6,20,"None",NA,1975,6237,"PinkLake","Female",NA,1,NA,3,4,"D1578",NA
